TAMBON_E,AM_ID,AMPHOE_E,CHANGWAT_E,LAT,LONG,TOTAL
Somdet Charoen,7112,Nong Prue,Kanchanaburi,14.746,99.338,None 1
Nong Ri,7103,Bo Phloi,Kanchanaburi,14.54,99.356,None 1
Chong Dan,7103,Bo Phloi,Kanchanaburi,14.412,99.437,None 1
Nong Prue,7112,Nong Prue,Kanchanaburi,14.63,99.454,None 1
Nong Kum,7103,Bo Phloi,Kanchanaburi,14.205,99.462,None 1
Bo Phloi,7103,Bo Phloi,Kanchanaburi,14.305,99.466,None 1
Lum Rang,7103,Bo Phloi,Kanchanaburi,14.485,99.481,None 1
Nong Pla Lai,7112,Nong Prue,Kanchanaburi,14.626,99.527,None 1
Thung Krabam,7110,Lao Khwan,Kanchanaburi,14.616,99.586,None 1
Wang Phai,7113,Huai Krachao,Kanchanaburi,14.434,99.597,None 1
Huai Krachao,7113,Huai Krachao,Kanchanaburi,14.312,99.618,None 1
Nong Fai,7110,Lao Khwan,Kanchanaburi,14.682,99.642,None 1
Nong Nok Kaeo,7110,Lao Khwan,Kanchanaburi,14.516,99.655,None 1
Don Salaep,7113,Huai Krachao,Kanchanaburi,14.292,99.701,None 1
Nong Pradu,7110,Lao Khwan,Kanchanaburi,14.456,99.738,None 1
Nong Pling,7110,Lao Khwan,Kanchanaburi,14.715,99.743,None 1
Lao Khwan,7110,Lao Khwan,Kanchanaburi,14.58,99.753,None 1
Nong Sano,7110,Lao Khwan,Kanchanaburi,14.648,99.758,None 1
Sa Long Ruea,7113,Huai Krachao,Kanchanaburi,14.357,99.764,None 1
Chong Sadao,7101,Mueang Kanchanaburi,Kanchanaburi,14.228,99.187,None 2
Pong Pad,-,Mueang Kanchanaburi,Kanchanaburi,14.285211,99.235042,None 2
Chorakhe Phueak,7111,Dan Makham Tia,Kanchanaburi,13.811,99.21,None 2
Ban Kao,7101,Mueang Kanchanaburi,Kanchanaburi,13.981,99.305,None 2
Wang Dong,7101,Mueang Kanchanaburi,Kanchanaburi,14.151,99.306,None 2
Dan Makham Tia,7111,Dan Makham Tia,Kanchanaburi,13.836,99.388,None 2
Wang Yen,7101,Mueang Kanchanaburi,Kanchanaburi,13.954,99.4,None 2
Nong Bua,7101,Mueang Kanchanaburi,Kanchanaburi,14.05,99.417,None 2
Lat Ya,7101,Mueang Kanchanaburi,Kanchanaburi,14.138,99.419,None 2
Nong Phai,7111,Dan Makham Tia,Kanchanaburi,13.808,99.44,None 2
Klon Do,7111,Dan Makham Tia,Kanchanaburi,13.88,99.44,None 2
Nong Ya,7101,Mueang Kanchanaburi,Kanchanaburi,13.981,99.451,None 2
Kaeng Sian,7101,Mueang Kanchanaburi,Kanchanaburi,14.103,99.501,None 2
Tha Makham,7101,Mueang Kanchanaburi,Kanchanaburi,14.035,99.503,None 2
Ko Samrong,7101,Mueang Kanchanaburi,Kanchanaburi,13.951,99.52,None 2
Pak Phraek,7101,Mueang Kanchanaburi,Kanchanaburi,14.039,99.551,None 2
Kaen Makrut,6106,Ban Rai,Uthai Thani,15.292,99.168,None 3
